length	gc
ENSG00000006740	202132	0.427
ENSG00000006744	26453	0.48
ENSG00000006756	25406	0.489
ENSG00000006757	28977	0.404
ENSG00000006788	72140	0.459
ENSG00000006831	97599	0.393
ENSG00000006837	165431	0.413
ENSG00000007047	54026	0.521
ENSG00000007080	10971	0.559
ENSG00000007168	91987	0.423
ENSG00000007202	30720	0.465
ENSG00000007237	287943	0.48
ENSG00000007255	15316	0.568
ENSG00000007341	96265	0.389
ENSG00000007372	33170	0.497
ENSG00000007376	3410	0.671
ENSG00000007384	18294	0.611
ENSG00000007392	146597	0.531
ENSG00000007402	140662	0.564
ENSG00000007520	2633	0.624
ENSG00000007541	17105	0.644
ENSG00000007545	72055	0.525
ENSG00000007866	23488	0.568
ENSG00000007923	67739	0.466
ENSG00000007933	26942	0.365
ENSG00000007944	19162	0.403
ENSG00000008018	82311	0.432
ENSG00000008056	47957	0.478
ENSG00000008083	276540	0.44
ENSG00000008086	228025	0.402
ENSG00000008128	21622	0.52
ENSG00000008130	28838	0.537
ENSG00000008256	110831	0.448
ENSG00000008277	268639	0.373
ENSG00000008282	22280	0.383
ENSG00000008283	14058	0.574
ENSG00000008294	158692	0.4
ENSG00000008300	47151	0.578
ENSG00000008311	70747	0.364
ENSG00000008324	4193	0.453
ENSG00000008382	16560	0.56
ENSG00000008394	30048	0.385
ENSG00000008405	102493	0.376
ENSG00000008441	103027	0.552
ENSG00000008513	117093	0.494
ENSG00000008517	4356	0.597
ENSG00000008710	47189	0.631
ENSG00000008735	10849	0.642
ENSG00000008838	35540	0.507
ENSG00000008853	32781	0.535
ENSG00000008869	103333	0.381
ENSG00000008952	31582	0.364
ENSG00000008988	63	0.429
ENSG00000009307	41138	0.382
ENSG00000009335	130412	0.421
ENSG00000009413	184685	0.369
ENSG00000009724	20717	0.502
ENSG00000009780	36934	0.434
ENSG00000009790	26275	0.456
ENSG00000009830	45927	0.471
ENSG00000009844	73676	0.353
ENSG00000009954	81888	0.432
ENSG00000010017	90067	0.369
ENSG00000010030	33580	0.494
ENSG00000010072	17088	0.404
ENSG00000010165	16096	0.45
ENSG00000010219	51672	0.428
ENSG00000010244	30819	0.386
ENSG00000010256	10667	0.531
ENSG00000010270	52465	0.384
ENSG00000010278	37956	0.508
ENSG00000010292	37835	0.461
ENSG00000010295	17711	0.543
ENSG00000010310	14216	0.55
ENSG00000010318	13131	0.455
ENSG00000010322	37565	0.532
ENSG00000010361	6444	0.574
ENSG00000010404	55174	0.46
ENSG00000010438	48766	0.428
ENSG00000010539	13133	0.423
ENSG00000010610	31339	0.487
ENSG00000010626	9510	0.482
ENSG00000010704	7961	0.473
ENSG00000010803	214945	0.395
ENSG00000010810	213121	0.424
ENSG00000010818	193735	0.383
ENSG00000010932	37481	0.409
ENSG00000011007	18694	0.454
ENSG00000011009	4384	0.623
ENSG00000011021	37049	0.478
ENSG00000011028	66201	0.522
ENSG00000011105	209210	0.521
ENSG00000011114	95490	0.401
ENSG00000011132	10903	0.566
ENSG00000011143	14170	0.475
ENSG00000011198	31843	0.393
ENSG00000011243	38975	0.488
ENSG00000011258	82729	0.395
ENSG00000011260	37396	0.404
ENSG00000011275	161690	0.455
ENSG00000011295	30030	0.409
ENSG00000011304	14936	0.61
ENSG00000011332	18669	0.571
ENSG00000011347	67157	0.571
ENSG00000011376	160254	0.421
ENSG00000011405	130254	0.398
ENSG00000011422	24252	0.5
ENSG00000011426	63969	0.379
ENSG00000011451	28445	0.587
ENSG00000011454	2023	0.456
ENSG00000011465	37772	0.346
ENSG00000011478	11508	0.526
ENSG00000011485	43982	0.505
ENSG00000011523	30648	0.478
ENSG00000011566	188047	0.369
ENSG00000011638	22026	0.435
ENSG00000012048	126109	0.441
ENSG00000012061	71496	0.521
ENSG00000012171	9533	0.607
ENSG00000012174	45886	0.385
ENSG00000012211	10871	0.556
ENSG00000012232	52218	0.441
ENSG00000012660	81782	0.419
ENSG00000012817	39525	0.388
ENSG00000012822	16406	0.492
ENSG00000012963	22161	0.433
ENSG00000012983	114166	0.361
ENSG00000013016	34381	0.503
ENSG00000013275	10760	0.501
ENSG00000013288	47287	0.546
ENSG00000013293	126522	0.421
ENSG00000013297	441517	0.415
ENSG00000013306	5225	0.611
ENSG00000013364	27646	0.525
ENSG00000013374	36702	0.449
ENSG00000013375	29063	0.393
ENSG00000013392	3225	0.472
ENSG00000013441	11736	0.418
ENSG00000013503	152541	0.397
ENSG00000013523	25698	0.438
ENSG00000013561	23455	0.404
ENSG00000013563	10849	0.545
ENSG00000013573	30947	0.523
ENSG00000013583	25445	0.436
ENSG00000013588	22645	0.466
ENSG00000013619	152613	0.44
ENSG00000013810	23689	0.561
ENSG00000014123	33450	0.331
ENSG00000014138	35657	0.462
ENSG00000014164	103796	0.584
ENSG00000014216	30792	0.51
ENSG00000014257	50936	0.404
ENSG00000014641	18588	0.381
ENSG00000014824	97029	0.369
ENSG00000014914	8249	0.5
ENSG00000014919	23919	0.423
ENSG00000015153	81248	0.39
ENSG00000015171	120173	0.378
ENSG00000015475	40526	0.525
ENSG00000015479	57926	0.406
ENSG00000015520	28780	0.515
ENSG00000015532	15120	0.575
ENSG00000015568	NA	NA
ENSG00000015676	108421	0.442
ENSG00000016391	30097	0.497
ENSG00000016402	45191	0.412
ENSG00000016864	11545	0.445
ENSG00000017260	166187	0.376
ENSG00000017427	84734	0.397
ENSG00000017483	11718	0.549
ENSG00000017621	4656	0.61
ENSG00000017797	63100	0.414
ENSG00000018189	103683	0.397
ENSG00000018236	379970	0.352
ENSG00000018408	186094	0.412
ENSG00000018510	151094	0.36
ENSG00000018610	27286	0.443
ENSG00000018625	27855	0.504
ENSG00000018699	193032	0.395
ENSG00000018869	10247	0.41
ENSG00000019144	51536	0.543
ENSG00000019186	20529	0.434
ENSG00000019485	141112	0.48
ENSG00000019549	3761	0.401
ENSG00000019582	11300	0.533
ENSG00000019991	68009	0.345
ENSG00000019995	47034	0.397
ENSG00000020129	8988	0.578
ENSG00000020181	47104	0.559
ENSG00000020256	107975	0.444
ENSG00000020426	233940	0.366
ENSG00000020577	225704	0.43
ENSG00000020633	65611	0.548
ENSG00000020922	76572	0.372
ENSG00000021300	16642	0.529
ENSG00000021355	9718	0.433
ENSG00000021574	94027	0.4
ENSG00000021645	1697918	0.395
ENSG00000021762	79624	0.57
ENSG00000021776	113444	0.375
ENSG00000021826	201426	0.363
ENSG00000022267	64658	0.421
ENSG00000022277	50296	0.437
ENSG00000022567	46952	0.537
ENSG00000022840	43266	0.452
ENSG00000022976	25798	0.491
ENSG00000023041	17249	0.386
ENSG00000023171	96991	0.479
ENSG00000023191	12772	0.603
ENSG00000023228	36441	0.404
ENSG00000023287	92009	0.37
ENSG00000023318	119868	0.379
ENSG00000023330	16245	0.455
ENSG00000023445	21955	0.376
ENSG00000023516	51115	0.365
ENSG00000023572	9650	0.419
ENSG00000023608	34072	0.396
ENSG00000023697	126130	0.391
ENSG00000023734	21123	0.365
ENSG00000023839	69200	0.452
ENSG00000023902	10059	0.526
ENSG00000023909	22423	0.37
ENSG00000024048	129484	0.391
ENSG00000024422	29791	0.53
ENSG00000024526	22965	0.348
ENSG00000024862	19800	0.392
ENSG00000025156	33569	0.355
ENSG00000025293	178366	0.441
ENSG00000025423	24467	0.45
ENSG00000025434	20734	0.509
ENSG00000025708	4334	0.646
ENSG00000025770	16565	0.555
ENSG00000025772	18344	0.451
ENSG00000025796	90523	0.398
ENSG00000025800	68525	0.442
ENSG00000026025	9335	0.462
ENSG00000026036	40889	0.6
ENSG00000026103	45990	0.383
ENSG00000026297	27676	0.487
ENSG00000026508	93533	0.416
ENSG00000026559	19483	0.522
ENSG00000026652	144051	0.454
ENSG00000026950	12980	0.445
ENSG00000027001	159260	0.398
ENSG00000027075	363412	0.425
ENSG00000027697	21947	0.388
ENSG00000027847	10228	0.579
ENSG00000028116	252270	0.352
ENSG00000028137	42218	0.554
ENSG00000028203	85045	0.386
ENSG00000028277	46364	0.51
ENSG00000028310	29090	0.53
ENSG00000028528	48351	0.431
ENSG00000028839	35331	0.379
ENSG00000029153	92960	0.393
ENSG00000029363	32989	0.356
ENSG00000029364	64012	0.401
ENSG00000029534	243537	0.493
ENSG00000029639	58354	0.384
ENSG00000029725	103575	0.414
ENSG00000029993	7486	0.503
ENSG00000030066	70388	0.418
ENSG00000030110	7748	0.572
ENSG00000030304	132228	0.364
ENSG00000030419	151923	0.346
ENSG00000030582	7980	0.577
ENSG00000031003	95161	0.396
ENSG00000031081	125104	0.435
ENSG00000031691	29725	0.38
ENSG00000031698	24290	0.432
ENSG00000031823	62169	0.528
ENSG00000032219	75230	0.375
ENSG00000032389	188913	0.483
ENSG00000032444	27616	0.558
ENSG00000032742	124369	0.387
ENSG00000033011	9266	0.496
ENSG00000033030	29398	0.426
ENSG00000033050	19395	0.492
ENSG00000033100	6331	0.569
ENSG00000033170	333530	0.374
ENSG00000033178	85411	0.355
ENSG00000033327	202533	0.416
ENSG00000033627	63736	0.455
ENSG00000033800	133833	0.375
ENSG00000033867	111700	0.368
ENSG00000034053	279349	0.398
ENSG00000034063	NA	NA
ENSG00000034152	30584	0.57
ENSG00000034510	1037	0.636
ENSG00000034533	12926	0.389
ENSG00000034677	53092	0.367
ENSG00000034693	39834	0.351
ENSG00000034713	11531	0.472
ENSG00000034971	17267	0.457
ENSG00000035115	46675	0.405
ENSG00000035141	6113	0.484
ENSG00000035403	124964	0.414
ENSG00000035499	103255	0.386
ENSG00000035664	139287	0.47
ENSG00000035681	76341	0.384
ENSG00000035687	43643	0.383
ENSG00000035862	72414	0.526
ENSG00000035928	78933	0.393
ENSG00000036054	64436	0.365
ENSG00000036257	115248	0.372
ENSG00000036448	100223	0.471
ENSG00000036530	42884	0.472
ENSG00000036549	118915	0.372
ENSG00000036672	26512	0.546
ENSG00000037042	7759	0.52
ENSG00000037241	10336	0.449
ENSG00000037474	34122	0.434
ENSG00000037637	102390	0.439
ENSG00000037749	18496	0.381
ENSG00000037757	9760	0.522
ENSG00000037897	3564	0.523
ENSG00000037965	3656	0.51
ENSG00000038002	11729	0.399
ENSG00000038210	118538	0.411
ENSG00000038219	58963	0.389
ENSG00000038274	16290	0.382
ENSG00000038358	11492	0.573
ENSG00000038382	365630	0.433
ENSG00000038427	110630	0.372
ENSG00000038532	237702	0.481
ENSG00000038945	84914	0.358
ENSG00000039123	117834	0.369
ENSG00000039139	254153	0.39
ENSG00000039319	71661	0.376
ENSG00000039523	17975	0.586
ENSG00000039537	119293	0.367
ENSG00000039560	176285	0.421
ENSG00000039650	6363	0.6
ENSG00000040199	85978	0.416
ENSG00000040275	21144	0.373
ENSG00000040341	327340	0.383
ENSG00000040487	20183	0.554
ENSG00000040531	26636	0.543
ENSG00000040633	4479	0.591
ENSG00000040731	157877	0.34
ENSG00000040933	146176	0.473
ENSG00000041353	67040	0.375
ENSG00000041357	8817	0.422
ENSG00000041515	611856	0.385
ENSG00000041802	31690	0.417
ENSG00000041880	6523	0.592
ENSG00000041982	98683	0.418
ENSG00000041988	10722	0.568
ENSG00000042062	105270	0.516
ENSG00000042088	89826	0.421
ENSG00000042286	34712	0.502
ENSG00000042317	53063	0.364
ENSG00000042429	29092	0.398
ENSG00000042445	12744	0.514
ENSG00000042493	19327	0.514
ENSG00000042753	12781	0.529
ENSG00000042832	267939	0.459
ENSG00000042980	61147	0.357
ENSG00000043093	37768	0.392
ENSG00000043143	58853	0.538
ENSG00000043514	42472	0.425
ENSG00000044090	16329	0.547
ENSG00000044115	181617	0.417
ENSG00000044446	92065	0.457
ENSG00000044459	368880	0.364
ENSG00000044524	374611	0.346
ENSG00000044574	6540	0.442
ENSG00000046604	50788	0.393
ENSG00000046647	23191	0.411
ENSG00000046651	34649	0.398
ENSG00000046653	167770	0.415
ENSG00000046889	279295	0.372
ENSG00000047056	82760	0.455
ENSG00000047188	81594	0.347
ENSG00000047230	124938	0.435
ENSG00000047249	127769	0.391
ENSG00000047315	52226	0.399
ENSG00000047346	97436	0.365
ENSG00000047365	296137	0.355
ENSG00000047410	64079	0.342
ENSG00000047457	59636	0.373
ENSG00000047578	230225	0.478
ENSG00000047579	140258	0.399
ENSG00000047617	383582	0.445
ENSG00000047621	50737	0.365
ENSG00000047634	17514	0.389
ENSG00000047644	128724	0.461
ENSG00000047648	528159	0.391
ENSG00000047849	238590	0.434
ENSG00000047932	284355	0.382
ENSG00000048028	77660	0.414
ENSG00000048052	910421	0.361
ENSG00000048140	11672	0.587
ENSG00000048162	4824	0.489
ENSG00000048342	131692	0.402
ENSG00000048392	34618	0.38
ENSG00000048405	22414	0.353
ENSG00000048471	597545	0.471
ENSG00000048540	61453	0.355
ENSG00000048544	11095	0.411
ENSG00000048649	154607	0.392
ENSG00000048707	281986	0.423
ENSG00000048740	331414	0.427
ENSG00000048828	114225	0.423
ENSG00000048991	193757	0.38
ENSG00000049089	16898	0.573
ENSG00000049130	87681	0.367
ENSG00000049167	71247	0.372
ENSG00000049192	333142	0.359
ENSG00000049239	36532	0.523
ENSG00000049245	10164	0.428
ENSG00000049246	60858	0.405
ENSG00000049283	11064	0.586
ENSG00000049323	452207	0.402
ENSG00000049449	289159	0.432
ENSG00000049540	41810	0.549
ENSG00000049541	22907	0.489
ENSG00000049618	432850	0.408
ENSG00000049656	27003	0.561
ENSG00000049759	357163	0.434
ENSG00000049769	18250	0.495
ENSG00000049860	81266	0.422
ENSG00000049883	39839	0.4
ENSG00000050130	20921	0.368
ENSG00000050165	46774	0.491
ENSG00000050327	25237	0.48
ENSG00000050344	34910	0.446
ENSG00000050393	28012	0.412
ENSG00000050405	107791	0.423
ENSG00000050426	12126	0.449
ENSG00000050438	124447	0.427
ENSG00000050555	83943	0.536
ENSG00000050628	195456	0.38
ENSG00000050748	58477	0.436
ENSG00000050820	39024	0.596
ENSG00000051009	23378	0.445
ENSG00000051108	11792	0.43
ENSG00000051128	34273	0.563
ENSG00000051180	37030	0.433
ENSG00000051341	114581	0.39
ENSG00000051382	106662	0.381
ENSG00000051523	7796	0.617
ENSG00000051596	8785	0.433
ENSG00000051620	9247	0.463
ENSG00000051825	76713	0.425
ENSG00000052126	246708	0.381
ENSG00000052723	11204	0.369
ENSG00000052749	44670	0.516
ENSG00000052795	137773	0.407
ENSG00000052802	15497	0.37
ENSG00000052841	136049	0.379
ENSG00000052850	49439	0.529
ENSG00000053254	462979	0.444
ENSG00000053328	164791	0.412
ENSG00000053371	9439	0.523
ENSG00000053372	8548	0.533
ENSG00000053438	2484	0.542
ENSG00000053501	4484	0.553
ENSG00000053702	9708	0.51
ENSG00000053747	265468	0.424
ENSG00000053770	21192	0.358
ENSG00000053900	41273	0.38
ENSG00000054116	19485	0.498
ENSG00000054118	80941	0.437
ENSG00000054148	2235	0.667
ENSG00000054219	101400	0.38
ENSG00000054267	197035	0.4
ENSG00000054277	47250	0.39
ENSG00000054282	244087	0.398
ENSG00000054356	19951	0.536
ENSG00000054392	348043	0.423
ENSG00000054523	170898	0.42
ENSG00000054598	3449	0.533
ENSG00000054611	412825	0.494
ENSG00000054654	373485	0.408
ENSG00000054690	56248	0.48
ENSG00000054793	171595	0.467
ENSG00000054938	34713	0.514
ENSG00000054965	192201	0.413
ENSG00000054967	21115	0.597
ENSG00000054983	155846	0.391
ENSG00000055044	37870	0.411
ENSG00000055070	31119	0.486
ENSG00000055118	33359	0.596
ENSG00000055130	103197	0.412
ENSG00000055147	47229	0.375
ENSG00000055163	129516	0.443
ENSG00000055208	192989	0.389
ENSG00000055211	24540	0.42
ENSG00000055332	51907	0.415
ENSG00000055483	45235	0.496
ENSG00000055609	301081	0.386
ENSG00000055732	30459	0.408
ENSG00000055813	434056	0.39
ENSG00000055917	102011	0.371
ENSG00000055950	9694	0.539
ENSG00000056050	28475	0.386
ENSG00000056097	90389	0.383
ENSG00000056277	66250	0.38
ENSG00000056558	26781	0.499
ENSG00000056586	55831	0.41
ENSG00000056661	14412	0.561
ENSG00000056736	19251	0.454
ENSG00000056972	50897	0.444
ENSG00000056998	53999	0.436
ENSG00000057019	105720	0.386
ENSG00000057252	64966	0.396
ENSG00000057294	106101	0.408
ENSG00000057608	48327	0.41
ENSG00000057657	23620	0.413
ENSG00000057663	141344	0.368
ENSG00000057704	83425	0.431
ENSG00000057757	9847	0.446
ENSG00000057935	262378	0.431
ENSG00000058056	136257	0.426
ENSG00000058063	128131	0.36
ENSG00000058085	59089	0.433
ENSG00000058091	744167	0.38
ENSG00000058262	19315	0.466
ENSG00000058272	161893	0.361
ENSG00000058453	232707	0.386
ENSG00000058600	37729	0.517
ENSG00000058668	117295	0.465
ENSG00000058673	58506	0.409
ENSG00000058729	22435	0.368
ENSG00000058799	38096	0.434
ENSG00000058804	73092	0.402
ENSG00000059122	39230	0.523
ENSG00000059145	51500	0.578
ENSG00000059377	242079	0.446
ENSG00000059378	39973	0.458
ENSG00000059573	50882	0.432
ENSG00000059588	87791	0.403
ENSG00000059691	90367	0.438
ENSG00000059728	27904	0.408
ENSG00000059758	122328	0.378
ENSG00000059769	23000	0.427
ENSG00000059804	17069	0.446
ENSG00000059915	17318	0.597
ENSG00000060069	74710	0.534
ENSG00000060138	24278	0.391
ENSG00000060237	158530	0.387
ENSG00000060339	70339	0.418
ENSG00000060491	9176	0.635
ENSG00000060642	10441	0.475
ENSG00000060656	90298	0.516
ENSG00000060688	37230	0.42
ENSG00000060718	232030	0.331
ENSG00000060749	100071	0.385
ENSG00000060762	18094	0.389
ENSG00000060971	14533	0.509
ENSG00000060982	139436	0.401
ENSG00000061273	37257	0.564
ENSG00000061337	9128	0.563
ENSG00000061455	98905	0.404
ENSG00000061656	5157	0.595
ENSG00000061676	114008	0.354
ENSG00000061794	45532	0.386
ENSG00000061918	48658	0.365
ENSG00000061936	88652	0.465
ENSG00000061938	48581	0.583
ENSG00000061987	130767	0.363
ENSG00000062194	90732	0.4
ENSG00000062282	32804	0.522
ENSG00000062370	75072	0.39
ENSG00000062485	28693	0.462
ENSG00000062582	2989	0.494
ENSG00000062598	67015	0.442
ENSG00000062650	86529	0.399
ENSG00000062716	133090	0.398
ENSG00000062725	83061	0.397
ENSG00000062822	33696	0.55
ENSG00000063046	35932	0.427
ENSG00000063127	35583	0.431
ENSG00000063169	95082	0.519
ENSG00000063176	11427	0.568
ENSG00000063177	4092	0.565
ENSG00000063180	8180	0.538
ENSG00000063241	8704	0.563
ENSG00000063244	20667	0.561
ENSG00000063245	20573	0.582
ENSG00000063322	9241	0.526
ENSG00000063438	134114	0.523
ENSG00000063587	18772	0.485
ENSG00000063601	72141	0.425
ENSG00000063660	32381	0.646
ENSG00000063761	133872	0.476
ENSG00000063854	18092	0.568
ENSG00000063978	46792	0.483
ENSG00000064012	54269	0.439
ENSG00000064042	339258	0.404
ENSG00000064102	33143	0.364
ENSG00000064115	42834	0.403
ENSG00000064199	20948	0.373
ENSG00000064201	16188	0.63
ENSG00000064205	12568	0.516
ENSG00000064225	63610	0.397
ENSG00000064309	106475	0.398
ENSG00000064313	102061	0.375
ENSG00000064393	231378	0.406
ENSG00000064419	100994	0.398
ENSG00000064490	9671	0.547
ENSG00000064545	18886	0.514
ENSG00000064547	5274	0.589
ENSG00000064601	7868	0.549
ENSG00000064607	43136	0.5
ENSG00000064651	105898	0.352
ENSG00000064652	163743	0.401
ENSG00000064655	294230	0.454
ENSG00000064666	12767	0.6
ENSG00000064687	25469	0.605
ENSG00000064692	152409	0.392
ENSG00000064703	12010	0.399
ENSG00000064726	50926	0.395
ENSG00000064763	186614	0.391
ENSG00000064886	15782	0.44
ENSG00000064932	66650	0.632
ENSG00000064933	93545	0.368
ENSG00000064961	6139	0.651
ENSG00000064989	106332	0.33
ENSG00000064995	10294	0.414
ENSG00000064999	228283	0.445
ENSG00000065000	50570	0.573
ENSG00000065029	37075	0.482
ENSG00000065054	12159	0.645
ENSG00000065057	8052	0.614
ENSG00000065060	93325	0.425
ENSG00000065135	47269	0.387
ENSG00000065150	70622	0.403
ENSG00000065154	21674	0.425
ENSG00000065183	30678	0.367
ENSG00000065243	152017	0.362
ENSG00000065268	10242	0.63
ENSG00000065308	79663	0.467
ENSG00000065320	222459	0.498
ENSG00000065357	22862	0.484
ENSG00000065361	23483	0.498
ENSG00000065413	343781	0.402
ENSG00000065427	20920	0.457
ENSG00000065457	24975	0.445
ENSG00000065485	95098	0.49
ENSG00000065491	75199	0.433
ENSG00000065518	6131	0.395
ENSG00000065526	92592	0.43
ENSG00000065534	272007	0.454
ENSG00000065548	23203	0.372
ENSG00000065559	122917	0.371
ENSG00000065600	50452	0.446
ENSG00000065613	59873	0.361
ENSG00000065615	100777	0.373
ENSG00000065621	30546	0.43
ENSG00000065665	40318	0.431
ENSG00000065717	49998	0.547
ENSG00000065802	25266	0.471
ENSG00000065809	256338	0.432
ENSG00000065833	220829	0.369
ENSG00000065882	248092	0.428
ENSG00000065883	146775	0.388
ENSG00000065911	16735	0.437
ENSG00000065923	159922	0.411
ENSG00000065970	22760	0.475
ENSG00000065978	19955	0.405
ENSG00000065989	52859	0.545
ENSG00000066027	76327	0.393
ENSG00000066044	47073	0.522
ENSG00000066084	243683	0.418
ENSG00000066117	15512	0.485
ENSG00000066135	55393	0.468
ENSG00000066136	80035	0.427
ENSG00000066185	25938	0.428
ENSG00000066230	51216	0.614
ENSG00000066279	62568	0.347
ENSG00000066322	4678	0.587
ENSG00000066379	NA	NA
ENSG00000066405	34837	0.429
ENSG00000066422	27706	0.402
ENSG00000066427	48070	0.415
ENSG00000066455	45655	0.396
ENSG00000066468	120129	0.454
ENSG00000066557	60877	0.352
ENSG00000066583	19278	0.389
ENSG00000066629	204327	0.452
ENSG00000066651	52845	0.36
ENSG00000066654	8214	0.413
ENSG00000066697	24522	0.436
ENSG00000066739	82084	0.369
ENSG00000066777	170166	0.384
ENSG00000066827	235262	0.448
ENSG00000066855	65911	0.41
ENSG00000066923	36473	0.459
ENSG00000066926	41897	0.428
ENSG00000066933	292080	0.379
ENSG00000067048	16372	0.377
ENSG00000067057	69286	0.511
ENSG00000067064	16681	0.438
ENSG00000067066	129447	0.392
ENSG00000067082	9286	0.481
ENSG00000067113	110237	0.396
ENSG00000067141	252723	0.386
ENSG00000067167	35242	0.383
ENSG00000067177	135366	0.378
ENSG00000067182	13361	0.541
ENSG00000067191	24248	0.544
ENSG00000067208	283709	0.382
ENSG00000067221	11405	0.551
ENSG00000067225	32358	0.482
ENSG00000067248	51449	0.371
ENSG00000067334	9749	0.386
ENSG00000067365	24553	0.496
ENSG00000067369	103296	0.417
ENSG00000067445	10871	0.515
ENSG00000067533	52697	0.376
ENSG00000067560	52948	0.464
ENSG00000067596	42831	0.442
ENSG00000067601	109683	0.441
ENSG00000067646	47436	0.374
ENSG00000067704	53929	0.392
ENSG00000067715	588016	0.356
ENSG00000067798	381722	0.35
ENSG00000067829	8758	0.588
ENSG00000067836	5989	0.633
ENSG00000067840	28381	0.563
ENSG00000067900	162110	0.369
ENSG00000067955	71909	0.404
ENSG00000067992	85240	0.408
ENSG00000068001	5061	0.61
ENSG00000068024	353483	0.513
ENSG00000068028	11151	0.545
ENSG00000068078	15561	0.658
ENSG00000068079	7735	0.51
ENSG00000068097	35741	0.404
ENSG00000068120	4208	0.577
ENSG00000068137	9117	0.621
ENSG00000068305	150497	0.368
ENSG00000068308	36346	0.5
ENSG00000068323	14749	0.525
ENSG00000068354	22923	0.48
ENSG00000068366	92058	0.385
ENSG00000068383	245632	0.541
ENSG00000068394	11058	0.507
ENSG00000068400	28542	0.502
ENSG00000068438	10204	0.505
ENSG00000068489	51211	0.444
ENSG00000068650	196840	0.503
ENSG00000068654	79828	0.465
ENSG00000068697	19379	0.416
ENSG00000068724	159980	0.509
ENSG00000068745	29485	0.467
ENSG00000068784	222615	0.365
ENSG00000068793	110920	0.489
ENSG00000068796	81023	0.387
ENSG00000068831	18546	0.556
ENSG00000068878	106774	0.38
